y,x,street_count,highway,longitude,latitude
12.9402638,77.6244408,3,nan,77.6244408,12.9402638
12.9389913,77.6234421,3,nan,77.6234421,12.9389913
12.9400232,77.6246832,3,nan,77.6246832,12.9400232
12.9387785,77.6236225,3,nan,77.6236225,12.9387785
12.9398248,77.6248832,3,nan,77.6248832,12.9398248
12.9408456,77.6221196,3,nan,77.6221196,12.9408456
12.9416303,77.6230642,3,nan,77.6230642,12.9416303
12.9406341,77.6223403,3,nan,77.6223403,12.9406341
12.9414394,77.6232761,3,nan,77.6232761,12.9414394
12.9404185,77.6225654,3,nan,77.6225654,12.9404185
12.9412303,77.6235081,3,nan,77.6235081,12.9412303
12.9313022,77.6230678,3,nan,77.6230678,12.9313022
12.9317961,77.6232567,3,nan,77.6232567,12.9317961
12.9312722,77.6243622,3,nan,77.6243622,12.9312722
12.9320762,77.6233639,3,nan,77.6233639,12.9320762
12.9314062,77.6249075,3,nan,77.6249075,12.9314062
12.9434042,77.6175989,3,nan,77.6175989,12.9434042
12.9430273,77.6174804,4,nan,77.6174804,12.9430273
12.941714,77.6173602,3,nan,77.6173602,12.941714
12.9373679,77.6243653,3,nan,77.6243653,12.9373679
12.9367372,77.6254756,3,nan,77.6254756,12.9367372
12.9371595,77.6259883,3,nan,77.6259883,12.9371595
12.937575,77.6241826,3,nan,77.6241826,12.937575
12.9379093,77.6245649,3,nan,77.6245649,12.9379093
12.9383451,77.6250695,3,nan,77.6250695,12.9383451
12.9385771,77.625346,3,nan,77.625346,12.9385771
12.9373971,77.6262661,3,nan,77.6262661,12.9373971
12.9370676,77.6252191,3,nan,77.6252191,12.9370676
12.9374894,77.6257151,3,nan,77.6257151,12.9374894
12.9373022,77.6250277,3,nan,77.6250277,12.9373022
12.9377224,77.6255393,3,nan,77.6255393,12.9377224
12.9376068,77.6247999,3,nan,77.6247999,12.9376068
12.9379988,77.6253307,3,nan,77.6253307,12.9379988
12.941311,77.6187042,3,nan,77.6187042,12.941311
12.9421992,77.6196605,3,nan,77.6196605,12.9421992
12.9431513,77.6193994,4,nan,77.6193994,12.9431513
12.943427,77.6189104,3,nan,77.6189104,12.943427
12.9434608,77.6187386,3,nan,77.6187386,12.9434608
12.9435292,77.6177722,3,nan,77.6177722,12.9435292
12.940746,77.6197772,3,nan,77.6197772,12.940746
12.9409076,77.6194783,3,nan,77.6194783,12.9409076
12.9413792,77.6173382,3,nan,77.6173382,12.9413792
12.9426512,77.6174511,3,nan,77.6174511,12.9426512
12.9435514,77.6176395,3,nan,77.6176395,12.9435514
12.9414198,77.6212361,4,nan,77.6212361,12.9414198
12.9297646,77.6303354,3,nan,77.6303354,12.9297646
