osmid,highway,oneway,reversed,length,lanes,name,width,est_width,bridge,maxspeed,access,longitude,latitude
27785795,residential,False,False,125.618,nan,15th Main Road,nan,nan,nan,nan,nan,77.62775065,12.9342745
27785792,residential,False,False,32.49,nan,5th Cross Road,nan,nan,nan,nan,nan,77.628319,12.9344896
27785792,residential,False,True,38.855,nan,5th Cross Road,nan,nan,nan,nan,nan,77.62810675,12.9347348
27785795,residential,False,True,125.618,nan,15th Main Road,nan,nan,nan,nan,nan,77.62775065,12.9342745
27785794,residential,False,False,33.643,nan,3rd Cross Road,nan,nan,nan,nan,nan,77.62758339999999,12.933605700000003
27785794,residential,False,True,33.533,nan,3rd Cross Road,nan,nan,nan,nan,nan,77.62738085000001,12.933834300000003
27785796,residential,False,False,124.555,nan,14th Main Road,nan,nan,nan,nan,nan,77.6279492,12.9340494
27785792,residential,False,False,35.157,nan,5th Cross Road,nan,nan,nan,nan,nan,77.62851715,12.934254599999997
27785792,residential,False,True,32.49,nan,5th Cross Road,nan,nan,nan,nan,nan,77.628319,12.9344896
27785796,residential,False,True,124.555,nan,14th Main Road,nan,nan,nan,nan,nan,77.6279492,12.9340494
27785792,residential,False,False,38.767,nan,5th Cross Road,nan,nan,nan,nan,nan,77.62873195,12.933996399999998
27785792,residential,False,True,35.157,nan,5th Cross Road,nan,nan,nan,nan,nan,77.62851715,12.934254599999997
27785797,residential,False,True,124.018,nan,13th Main Road,nan,nan,nan,nan,nan,77.62815135,12.933810900000001
27785777,residential,False,False,13.798,nan,12th Main Road,nan,nan,nan,nan,nan,77.6279815,12.933192349999999
27785777,residential,False,True,41.056,nan,12th Main Road,nan,nan,nan,nan,nan,77.62817960000001,12.93334585
27785798,residential,False,False,126.077,nan,2nd Cross,nan,nan,nan,nan,nan,77.62841374999999,12.932803849999999
27785798,residential,False,False,149.36,nan,2nd Cross,nan,nan,nan,nan,nan,77.62911395,12.93178075
27785798,residential,False,True,126.077,nan,2nd Cross,nan,nan,nan,nan,nan,77.62841374999999,12.932803849999999
37786363,residential,False,False,42.608,nan,11th Main Road,nan,nan,nan,nan,nan,77.6289324,12.932514850000002
27785798,residential,False,True,66.883,nan,2nd Cross,nan,nan,nan,nan,nan,77.62958689999999,12.9308296
27785799,residential,False,False,100.646,nan,1st Cross Road,nan,nan,nan,nan,nan,77.63015494999999,12.930430900000001
27785799,residential,False,True,35.45,nan,1st Cross Road,nan,nan,nan,nan,nan,77.62954655,12.930579550000003
27785830,residential,False,False,31.817,nan,10th Main Road,nan,nan,nan,nan,nan,77.62981825,12.9315886
27785830,residential,False,True,41.134,nan,10th Main Road,nan,nan,nan,nan,nan,77.630021,12.931848800000001
37786362,residential,False,True,149.988,nan,4th Cross Road,nan,nan,nan,nan,nan,77.62958914999999,12.932286399999999
27785798,residential,False,False,9.487,nan,2nd Cross,nan,nan,nan,nan,nan,77.62944884999999,12.93114555
27785798,residential,False,True,149.36,nan,2nd Cross,nan,nan,nan,nan,nan,77.62911395,12.93178075
27785830,residential,False,True,45.5,nan,10th Main Road,nan,nan,nan,nan,nan,77.6295749,12.9313344
27785799,residential,False,True,100.646,nan,1st Cross Road,nan,nan,nan,nan,nan,77.63015494999999,12.930430900000001
27785841,residential,False,True,45.398,nan,8th A Main Road,nan,nan,nan,nan,nan,77.63070830000001,12.93048485
